text,label
i only have one other credit card from the us do you accept that,23
i would like to change my name after marriage,13
i didnt receive the correct exchange rate for an item that i bought,11
my balance doesnt show my deposit,2
i was not distributed all of cash that i requested,29
will my card work at all merchant locations,4
i found my card again can i put it back into the app,7
there is a payment done with my card which i definitely did not donever seen that name before,10
my card got blocked how do i reset,22
what can i pay with out  fees,9
why did i get a 1 extra fee on the statement,16
my card will not work,8
is there an auto top up option,1
i found my card in my jacket this morning so can i reactivate it,7
was i charged more than i should of been for a currency exchange,11
is there a limit for the amount i can top up,25
i recently deposited some money into my account but it still isnt showing up whats going on,2
my pin cant access my card can you help,22
i found the card that i thought i lost and i would like to reactivate it,7
could you tell me what your exchange rates are,14
i tried to take out some money from an atm earlier today and it was declined looking on my screen now i still see that its pending for that amount i didnt actually get that money so i dont want it processed on my account,20
the amount of money i pushed at the atm machine did not come out of the machine,29
my automatic topup was unsuccessful,26
why hasnt my friends transaction arrive yet,27
ive made a horrible mistake  i transferred money to the wrong account by accident  i entered one of the digits wrong  i need this cancelled immediately please,3
how long does it take for a transfer to arrive,27
do you know which businesses will accept my card,4
i seem to be unable to make any transactions,8
how do i add the card i just received to show up in the app,7
there are some charges that i dont recognize  it happened days ago  can i get these charges back  should i cancel my card,10
my top up did not show up as shown and my money has disappeared can you help me fix this glitch problem,26
it looks like my topup was cancelled,26
i paid with my card and i was charged a fee,9
a transfer has to be cancelled,3
there is a 1 extra fee in my statement,16
will i be charged for receiving money,24
could you please freeze my card immediately,19
what is the exchange looking like,14
what are my payment options,23
an item i bought had the wrong exchange rate applied,11
what do i do if i still have not received my new card,5
why do i have an unknown payment,10
how long will it take for the cash i deposited this morning to show up,2
what is the maximum top up,25
i moved and need to change my personal information,13
why is the topup i made still pending,21
how to get virtual card,18
how do i find out how or where this transaction on my account came from,10
what are my options for holding money in multiple currencies,17
how do i get into my account and edit my details,13
i do not know where the transaction is,27
i made a deposit in the atm and it has not cleared,20
i have not received the completed transaction,27
the atm is showing it gave me the money i requested but i didnt get that amount,29
where is my cash deposit in my balance,2
i am worried about the amount of my cheque which should be credited to my account few days before as i have already sent you the cheque,2
did you lose my money i had added funds through topup not long ago and i know they were in my account but they seem to have disappeared what happened,26
shouldnt my new card be here by now,5
am i able to track the card that was just sent to me,5
do you have any topup limits,25
what reasons could cause my top up to be reverted,26
can i change my details because i moved,13
please tell me which fiat currencies you support,17
can currencies be exchanged on this app,15
what are the various currencies and cards that you offer support for,23
its been a week since you sent my card and i still dont have it,5
do i have a limit to the number of topups per day,25
why did i not get all the money that i asked for i asked for all the cash in my my account but i only got about half why is that,29
what is the dollar that i have pending on my statement there,16
how can i exchange currencies using your app,15
i went to an atm to get cash but the app says the withdrawal is still pending how is that possible when i already have the cash with me,20
i didnt know i was going to get charged to use my card,9
there is a card payment im not familiar with,10
tell me how to change my details,13
i need to change my personal details in my account,13
how old do kids have to be to open an account,0
can i use this app to exchange between dollars and pounds,15
how often can i top up my account,25
i am locked out from entering my pin,22
there was a transaction this morning that id like to reverse,3
is the eur accepted for exchanges,17
i dont recognize this payment on my app i am sure i didnt spend any money there,10
how to track the card you sent,5
why is there an identity check,28
i did not ask for the amount of cash that i received,29
when do you charge fees on accounts i just saw a charge on my statement,9
i need to update my address,13
i cant see if the transfer i did a couple days ago is in my account yet i double checked my info before sending too can you check this,27
i would like to track the card you sent to me,5
i cant figure out how to change gbp to aud what do i do,15
my pin has been blocked,22
why doesnt it work when i use american express to try to add money to my account,23
how long will it take my card to get here,6
why do i see an extra 1 charge on my statement,16
i have done a transfer within the country the day before yesterday but its still not there yet can you please check whats going on with that the account number definitely is the right one ive checked that already,27
why on earth is the exchange rate so bad   can i get a rate closer to the actual interbank rate,11
why is there an uknown charge showing on my account,10
do topup limits exist,25
how is an exchange rate calculated,14
whered the rest of my cash go from the atm,29
contactless payments need to be enabled for my card,12
there is an extra charge on my account i didnt authorise its just 1 what is it,16
im pretty sure my top up is still pending,21
there is payment showing that i didnt do,10
why isnt my cash withdrawal showing,20
i think you reverted my top up,26
i asked for a certain amount of money from the atm but it gave me a different amount less than what i asked for,29
please help me cancel a transaction,3
does it cost me to add cash,24
how long does it take for me to get my new card,5
please help me as my topup amount has been reverted i did it correctly i think there is some defect in system,26
can you explain more about why should i verify my identity,28
can you explain why the atm is giving me less money than what i asked for,29
i lost my card what do i do now,19
is there a certain age i need to be,0
when do i get charged a fee for using the card,9
what is the 1 transaction on my account,16
in the exchange and holding what fiat is allowed,17
i was only given 20 after trying to withdraw 100,29
what is the age requirement,0
i did not receive the right amount of cash,29
it looks like the exchange rates on my card payment are wrong,11
i would like to reactivate a card and wondered if that could be done,7
my new landlord is a lier and is trying to rip me off by saying ive not paid my rent when i have paid my rent  what is going on  they say the money hasnt got to them but i see it going out of my account  can you check that the money went to the right place,27
the amount of exchange was not correct for the item i bought,11
i see an extra 1  charge on my statement why is this,16
my top up has been pending for an hour already and i really need this to go through as soon as possible  can you help,21
i think my top up has been reverted,26
do i get charged if i am receiving money,24
what is my identification used for,28
is it possible to go ahead and log in although i have not been confirmed yet,28
why did they charge me an extra 1,16
what is needed for my daughter to open an account,0
whats the limit to how much i can top up,25
if i found a lost card can i put it back in app,7
after inputting the wrong pin too many times can you now help me unblock my pin,22
i transferred some money but it hasnt arrived,27
why check my identity,28
is there something wrong with my top up i did an hour ago its still pending i need that money i cant afford to wait or have it come back to me,21
i cant find my card,19
i am having problems with my contactless,12
i got my card now how do i make it show up in the app,7
is my top up not working,21
why was i charged an extra fee when paying with card,9
can my teenager have an account,0
which flat currencies are supported for holding and exchange,17
why wouldnt my contactless work for the metro,12
how to order a virtual card,18
where is the cash i deposited,2
how do you come up with your exchange rate,14
i dont know if i made this payment on my card,10
why wont my american express work to add money,23
is there any way i could open an account for my daughter,0
will you be able to exchange to eur,17
what is this 1 charge,16
i checked my account today and saw that i was charged an extra pound that i did not spend,16
how can i request cash back the atm just gave me the wrong amount that ive been charged though,29
when will i receive the cash payment from the check i deposited,2
i tried to withdraw 50 pounds but it only gave me 30 where is the rest of my money,29
my card doesnt seem to work,8
which cards are accepted for topping up,23
what are the fees for using transfer to top off my account,24
how much will it be in order to pay with a bank transfer using sepa,24
im still waiting on my new card to be delivered,5
do you support top ups,26
where can i find the virtual card,18
the exchange rate was not correct for the item i bought,11
what is this 1 charge on my account,16
i want to revert this mornings transaction,3
will there be a charge when money is added to my account,24
how do i add a new card,7
how do i make my pin work again,22
do you also have this extra fee on your statement,16
i wasnt charged the correct exchange rate for an item i purchased,11
is it possible for a transaction to be cancelled,3
how long does it take for the transfer to go through,27
if my cash withdrawal is still not showing is something wrong,20
i was checking my statement and my topup has been reverted,26
how long will my topup stay pending,21
can you tell me which cards and currencies are supported,23
where are the virtual cards,18
what is the max topup,25
i found my lost card am i still able to use it,7
my card was declined and i did not receive money from the atm earlier yet it show on my account that it is pending,20
why didnt i receive the right amount of cash,29
when i topup the app reverts it,26
hae there i have a transaction that is in progress despite the fact that the atm was not working what do i do to avoid being charged,20
have have a small charge on my account from someone i purchased with but im not sure what it relates to,16
please let me know what currency i can use to top up my account,23
can you tell me the names of the fiat currencies that i can use at your institution,17
what was the 1 fee i got,16
you promised no fees but now ive got one what the hell,9
how do i make my card show up in the app,7
why was i charged a fee for debit or credit card payment,9
what are the auto topup policies,1
are you able to guide me to my cards location,19
unbeknownst to me there was an additional charge on my prior transaction a notification of sorts should be required and explained before future payments are made,9
can i have multiple currencies in my account,17
why did i only get 20 when i asked for 100,29
the exchange rate is incorrect for something i bought,11
if my account is low in funds can i set an auto topup,1
how old can one use your service,0
seems like my top up has been cancelled,26
why is top up pending,21
is the 1 pound charge i can see an error or an incorrect entry,16
on a card payment why is there a fee,9
there is a strange payment on my card,10
how can i exchange currencies with this app,15
is there a cost to receive money,24
what does it mean if my cash withdrawal does not show up properly,20
why has my card been charged an extra pound,16
why hasnt the transaction i did to my friend arrived yet,27
why are you charging me fees for using my card,9
my pin got blocked help,22
how do i use the app to exchange currencies,15
can i track when my card will be delivered,5
currently my card is broken,8
what types of fiduciary currencies are supported for tenure and exchange,17
why hasnt my account updated,2
there should be a cash withdrawal that i havent seen yet,20
how come my card doesnt work anymore,8
is there a topup limit,25
how do i change my aud into gbp,15
i refilled my account balance but got an error message,26
is there a possibility to open an account for my sons and daughters,0
why am i not seeing the check i deposited this morning in my account,2
i didnt want to make a transaction i want to revert it,3
is there a fee to top up by bank transfers,24
how can i locate the virtual card,18
hi i draw out some money from the atm today the atm has given me wrong amount and the application is displaying more amount than i withdraw,29
why does it cost more to pay with my card,9
i do not recognize the card payment,10
why did you revert my topup,26
i submitted a transaction but it was for the incorrect account,3
how long is the delivery to the us,6
there is a vendor name i dont recognize on a payment from my account i dont think i made this payment,10
my app shows a payment i didnt make,10
i have an unusual payment in my statement,10
a payment on my statement is wrong,10
i did not charge my account for that transaction  thats an error,10
what currency can i use to add money,23
is it possible to cancel a transaction,3
why has my account balance not changed after depositing a cheque,2
i need to cancel my recent transfer as soon as possible i made an error there please help before it goes through,3
i think a fee was applied for paying with a card,9
do i have to top up in euros if i use a card or can i use a different currency,23
after i used my card i saw i was charged a fee for using it,9
after i got married i need to change my name,13
i cant find the virtual card,18
can you tell me the limit for top ups,25
is there a way to order a virtual card on the website,18
my last atm request did not go through due to a declined card please cancel the request on my account,20
i need to know which fiat currencies i can use with you,17
are you okay with exchanges to eur,17
what currencies do you accept for adding money to my account,23
i used my pin too many times,22
why is there a verification to identity,28
why is the transaction to my friend still pending,27
i want to reactivate my card i thought i had lost it but i found it,7
i have young kids can they use this service,0
i want to find out what happened to my new card,5
how long does it take for a topup,21
what can i do to make my physical card work,8
what is the reason for the identity check,28
hello i am a new customer and just tried topping up for the first time according to your information the transaction should be instant  why does it still show as pending,21
i made a cash withdrawal earlier and its showing as pending  what does that mean,20
how long do i need to wait til my top up isnt pending,21
if i dont have much money in the account can i auto topup,1
how long does it take for cards to be delivered after ordering them,6
where is my virtual card located,18
does your app allow currency exchange from usd to gbp,15
why hasnt a transaction to a friend cleared yet,27
why isnt my cash deposit showing up in my account,2
i have a strange transaction for 1 on my statement what is that,16
can you  tell me how to get aud not gbp,15
is there a auto topup option,1
what fiduciary currencies are supported for tenure and exchange,17
how much to get my card in 2 days,6
how do i add my new card,7
how do i dispute a payment i didnt make,10
why did i have to pay an additional amount when using my card to pay,9
how come i was charged an extra fee when paying with the card,9
do you limit my topups,25
is there a way to modify my details,13
where is this card accepted,4
i want to link to my card card with you how,7
my transfer isnt in,27
the exchange rate used on your app is really bad im considering closing my account because of it,11
i need help with some transactions in my account that i dont recognize or remember purchasing im not sure if the name is just different or what should my card be put on hold while the issue gets figured out to be safe or is it ok,10
i transferred money but the recipient does not see the funds in their account,27
there is a charge for an additional pound,16
asked for 100 but only got 20 why would this happen,29
how do i tell if my top up was reverted,26
i tried using a check to update my balance but it isnt work is something wrong,2
hello i just checked my statement and there seems to be a payment from my card that i have never seen before,10
why do you charge for transfers,24
how long is a delivery to the us,6
now that i have my card how do i connect it to the app,7
how can i get cash back the atm just gave me the wrong amount that ive been actually charged though,29
the exchange rate that was applied for an international purchase was wrong,11
i need to know what foreign exchange rate i can get,14
1 charge in transaction,16
where do i scan my card,7
money is not in recipients account,27
why hasnt my topup finished pending yet,21
which merchants accept this card,4
i tried to purchase airline tickets online this morning and my card information isnt working is there something going on with my account,8
can you please tell me where my card is i ordered it 2 weeks ago,5
what currencies do you accept to add money,23
can i have my card delivered on tuesday,6
why is my transaction taking so long to complete,27
what number of times can i topup,25
i dont think i made this payment that is showing up,10
i need to cancel a transaction,3
does the fee for exchange change,11
why did i only get 2000,29
my card was stolen,19
should my top up still be pending,21
what is the limit on auto top,1
what was i charged a fee for card payment,9
where does the exchange rate stand right now,14
i was expecting my new card by now,5
if there isnt much money left over will it topup automatically,1
can i set automatic top ups,1
i asked for more cash than what was received,29
how long will it take to have my card mailed to me,6
why was my top up cancelled,26
have you sent out my card yet,5
i entered my pin wrong  too many times,22
the card is nonfunctional,8
i noticed that i got charged extra for using the card,9
how come there is a 1 extra charge on my statement,16
this exchange rate you use is awful please tell me this is a mistake and not the official interbank exchange rate,11
how can i update my personal information after moving,13
your exchange rate was off  i was charged extra on my payment that i made last saturday,11
when will i receive the card,6
where is my card,5
found card how to put it back in app,7
my friend deposited 100 into my account but it is not showing up,2
i lost my card can you help me,19
even though i made a cash deposit i am not seeing it in my account,2
changed details is essential what steps do i take to do so,13
is there a way to set up an auto topup,1
the cash i deposited using the atm is still pending,20
i am not receiving the correct exchange rate on my card,11
my money is gone i had topped up recently and saw it was there and went through but now its disappeared whats going on,26
my card is stolen  help,19
i dont know whats wrong with my card but it has not worked at multiple places today,8
what is the best way to get my virtual card,18
id like like to know where i can order a virtual card,18
i sent money to someone but they havent gotten it whats going on,27
when will my top up process,21
what do you need my identity details for,28
i was not able to receive the correct amount of cash,29
what should i do  my card has been stolen,19
my card doesnt work when i use it,8
can i use my account before my identity verification has passed,28
my top up says it is still pending,21
how can i hold and exchange fiat currencies,17
how would i be able to make changes to my personal details,13
can i use app to unblock my card,22
hi  i just came to know i made the wrong transaction  yesterday would  you please make it correcti need it by tomorrow,3
please explain why my topup hasnt been processed yet,21
what currencies can my account be in,17
why wasnt my topup accepted and where did that money go at first it said it was confirmed but now i cant find it,26
in my statement there was an extra 1 fee,16
what places accept my card,4
i was charged the wing amount for an item,11
i got cash from an atm earlier but it shows up as pending in the app how can this still be pending i already received the cash,20
why did i get charged a fee for my card payment,9
the card that i have isnt working this is the physical card,8
how can i request cash back the atm just gave me a different amount than what ive been charged though,29
do you have a list of the cards and currencies supported,23
what is the time frame that it usually takes for a transfer to come through i have a friend needing it immediately but it has yet to come through,27
how did the extra charge on my card come in effect,9
how do i make my card appear on the app,7
how can i use my american express to add money into my account,23
i made an international purchase but the exchange rate was wrong,11
my purchase used the wrong exchange rate,11
how can i get new card,12
what is the present state of the exchange rate,14
why hasnt my transaction arrived to my friend yet,27
i am still waiting for the cash to be returned from a cheque i deposited,2
how can i go about ordering a virtual card,18
i didnt do a payment and i have it now,10
i was charged extra or a hidden fee when i purchased something from you whats the deal i didnt authorize that charge,16
can turn my money into another currency,15
ive deposited a check but the cash isnt showing that its there yet,2
i think that there is a payment on my card that i did not authorize  i dont recognize the name attached to the transaction,10
i would like to exchange currencies on the app how do i do this,15
my card was charged more than expected,9
can my children have an account,0
what is the charge for receiving a sepa transfer,24
how do i link one of your card that i already have,7
where is my unknown payment from,10
can i exchange currency to europe,17
which currencies are allowed,17
can you change the rate for the item i bought in a different currency as it is wrong,11
i asked for 100 only got 80,29
from where are coming your exchange rates,14
hold old do my kids have to be to use the service,0
what if i dont want to disclose all of my identity details,28
i thought you offer crypto top up but it doesnt seem to be right  money just disappeared from my account how it would work,26
from which age can my kids use your service,0
is the exchange rate the same on weekends as the weekdays,14
i used a check check yesterday to balance my account and it isnt showing up,2
my top up was reverted can you help,26
help me cancel a transfer,3
need to know if there is a maximum i can top up,25
i got some cash in the atm but its still pending,20
the cash i asked for still hasnt been received,29
my statement indicates i made a payment to an unfamiliar merchant,10
and do you have virtual cards instead of physical ones,18
my card payment has the wrong exchange rate,11
how do i topup while traveling,1
my new landlord says he hasnt received the rent payment that i transferred a couple days ago ive already checked the account numbers and they are correct can you tell me whats going on with this transaction that the transfer isnt showing up on my landlords end,27
exchange rate for my card payment is wrong,11
i cannot seem to use my card,8
will i know which exchange rate i will get,14
help  my card is broken,8
can i link your physical card,7
it appears my topups have been canceled,26
i wish to cancel a transfer,3
i am 16 and just started working at mcdonalds can i deposit my checks at your bank,0
the exchange rate i was charged for a purchase was not right,11
how can i convert currencies,15
why is my identification required,28
there is a payment made with my card that i dont recognize at all,10
is there any reason my cash withdrawal still shows as pending,20
i have a contactless thats broken,12
what if i need to use gbp instead of usd,15
the atm gave me less cash than requested,29
need to exchange currencies,15
i am under the impression that my top up is still pending,21
why is there a payment i didnt do,10
im waiting on a topup its still pending,21
i need to exchange my gbp to aud how would i do this,15
i took out money from the atm and its still showing as pending,20
i swear that there are 2 payments on the app that i didnt make  could my card me stolen  please advise what i should do,10
my card hasnt arrived in the mail yet i ordered it two weeks ago what can i do,5
i would like for someone to tell me which fiat currencies that your company supports,17
i want to reactivate my card i found it after thinking it was lost,7
what is the youngest age for an account,0
i deposited a check but havent received the funds for it,2
how long does it typically take for a pending atm withdrawal to clear,20
did a wd earlier at an atm  the amount showing in the app is more than i got though,29
why is my contactless not working,12
my transfer has not arrived,27
hey i have my card how do i get it to show in the app,7
why is there a charged fee for debit or credit card payment,9
can i transfer using swift,24
is there a fee for making a payment if so let me know why,9
i want to cancel a transaction,3
i want to cancel a transfer i just made,3
are there any charges for receiving money,24
how can i fix my contactless,12
what should i do if my card is stolen,19
is it possible to change my address,13
can i set up an auto topup,1
my account balance has not updated since i deposited a cheque recently,2
i want to reactivate my card i thought i had lost it but found it again in my jacket,7
why havent i received my new card yet,5
with what currencies can i add money,23
i forgot my pin and am blocked now can i reset it somewhere,22
why is there an identify check,28
what are the cards and currencies that you support,23
i left my card at a restaurant and now its missing,19
i made a mistake when sending a payment sending it to the wrong account number with a typo  can you please cancel the transaction,3
what do i do if my card was stolen,19
where are my funds i topped off my car but it didnt seem to complete,21
my moneys disappeared from my account i topped up the other day and it was there but now its not help,26
i was given the wrong amount of cash,29
my card stopped working how do i check if there is a freeze on it,8
please help me with the amount that i have withdrawn from the atm today the atm has given me wrong sum of amount and i could see that the app is displaying the greater amount than taken out,29
the atm didnt give me the full requested amount,29
am i able to add money into my account using my american express,23
what if i dont verify my identity,28
in which stores can i shop with this card,4
can i use my card while on vacation overseas,4
why did my topup not go through,26
do you have support for flat currencies,17
i noticed the currency exchange rate was incorrect after paying for something in a foreign country,11
if i need to make an exchange from usd to gbp how can i do so in the app,15
can i use your app to exchange between usd and gbp,15
which establishments will accept my card,4
i want to revert a transaction i did,3
do i have to manually topup my account each time or will it do it on its own,1
i wanted to withdraw 100 from the atm but i only got 20,29
i have been waiting for my topup to complete and it still hasnt gone through,21
can i add a card to back into the app,7
how long will i have to wait for my new card,6
i need to change my address,13
which fiat currencies are supported by you,17
is there an age limit to open an account,0
how come i did not get a virtual card yet,18
why is the cash withdrawal under pending,20
i put money in my account a week ago but its still not there what happened to my money,2
why isnt my money from a check deposit showing,2
why was i charged a fee for my card payment,9
do you have an option for auto top up,1
why was my exchange rate a different amount than usual,11
my statement contained a one pound extra fee,16
what do i do if i have exceeded all my pin tries,22
do you deal with eur,17
is there a way to reset my pin,22
why is my cash deposit not in my account,2
i believe you charged me too much to exchange my money,11
how do i exchange aud for gbp,15
how long does it take for a cash withdrawal to show,20
i saw a fee on my app from one of my payments and i wasnt sure where it came from is there a way you can tell me when theres an additional fee for my payments,9
i was charged an extra fee for a card payment i was unaware of these fees beforehand,9
after purchasing an item i noticed the exchange rate was incorrect,11
why hasnt my card arrived yet,5
my topup didnt go through it still says pending whats up with that,21
does the app allowing exchanges between usd and gbp,15
do you take swift transfers,24
what is the reason my cash withdrawal is still pending,20
can you share card tracking number,5
what is going on my balance still hasnt updated and it has been two weeks since i deposited my money,2
my card hasnt been working for even small transactions today,8
i have a card payment that i dont recognize what should i do,10
there seems to be a couple of payments listed in the app i know werent made by me is there a possibility someone has access to my card can you find out whats going on,10
my balance is not right it has not been updated for the cash or cheque deposit,2
how long does it take to get my card i am in a rush,6
i just saw a fee on my account when do these get charged,9
why isnt the transfer i made to a friend showing,27
will this card work all over the world,4
is there a minimum age for having an account,0
whats going on with my card ive tried multiple times and it never goes through,8
what is the extra fee that showed up on my card,9
when i topped up the app has seemed to reverted it,26
i want to add funds to my account what payment methods are accepted,23
i heard that you support more than one type of fiat currency would you tell me which ones please,17
i feel as though i have been over charged for the exchange rate on my payment on last saturday,11
how can i fund another account with my american express,23
what caused my top up to be reverted,26
i need to transfer some money to a friend who is in urgent need of some fast cash how long will it take before she can use that money,27
how do i know how much money i will have when i travel abroad,14
i have an odd payment in my statement,10
i tried my pin too many times,22
what do i need to do to get cash back the atm gave me the wrong amount that i requested but the app is showing the amount to be correct,29
can i get my card fast tracked,6
i need help i lost my card,19
why is verification for my identity needed,28
hello there seems to be a billing mistake associated with my account  my app was charged 1 more than it should have  could you please explain why this may have happened,16
what would the age limit be,0
i only got 20 of the 100 that i attempted to withdraw,29
i need to freeze my card as soon as possible i just checked my account and saw that there have been several payments that i dont recognize over the course of a few days can we investigate and get my money back,10
what steps do i take to unblock my pin,22
do you accept mastercard,23
hello what is a virtual card and how do i get one,18
when will my cheque process,2
stop the transaction,3
its been several days and my cash withdrawal is still pending why,20
when i bought something abroad the exchange rate was wrong,11
im still waiting for my card,5
the atm is messed up it gave me less than i wanted,29
after putting in the wrong pin too many times i was blocked can you assist me in changing it,22
how do i access the auto topup option,1
please send my card as quickly as possible,6
there was an extra fee when i paid with the card,9
theres a payment with my card that i definitely didnt create i dont know anyone by that name,10
i made a purchase but never expected to see a fee charged for the transaction,9
i have a confusing payment appear on my statement and i dont recognise it,10
the app is showing that i received alot more money than i actually received from the atm this occurred earlier today,29
where do i find pin for my card,22
what is the wait time for delivery to the us,6
two days ago i did a transfer to another account within the country  it doesnt appear the transfer went through  i have verified the account number several times  could you please check on this for me,27
what are the requirements to open an account for a minor,0
what currencies can i not hold many in if so what are they,17
i need some help now please there are some transactions on my account that i do not remember purchasing can they be reversed can you please cancel or freeze my card so i dont keep getting charged,10
id lke my card reactivated i was thinking it was misplaced but i discovered when i woke up that i had left it in my coat,7
help  my card is stolen,19
are there any restrictions on where i use this card,4
how do i set up auto topup,1
i dont understand why i was charged an additional fee for this service can you clarify,9
a fee that shouldnt be there is there after using my card,9
can you show me where to link the new card,7
a transfer has been made in my account that i need to cancel  this was a mistake on my part and i hope we can get this resolved quickly,3
where is the money i put in the bank,2
is it possible to link a new card,7
my pin tries have run out now what,22
why didnt my transfer get to the recipient,27
i paid with card and was charged a fee that shouldnt be there,9
can my account have different types of currency in it,17
what is my topup limit,25
why doesnt the person i sent money to see that transfer yet,27
i tried to top up but it didnt finish,21
i want to use a payment card to top up my account how can i do this,23
how much time do transfers take i sent money to a friend who needs it fast its been hours and the money has not gone through,27
what kind of cards are supported  what currency,23
can someone assist me with updating my account details with changing my last name,13
i made a rent payment from the wrong account yesterday it absolutely has to go through tomorrow so can you please reroute the payment to the right account,3
can you tell me how long it takes for a new card to come,6
how do i know where i can use my card,4
can i do a swift transfer,24
what is the maximum for auto topup,1
hey i got charged extra for some reason when i purchased an app is this a hidden fee or something i dont think its very cool,16
why is there an extra 1 fee in my statement,16
where is my credit card that was to be mailed,5
what are the steps i need to do if i have a stolen card,19
is there any amount in which i would get cut off from topping up,25
there is a strange payment on my card and i dont know what to do,10
if someone sends me money will i be charged,24
could i reactivate my card please i couldnt find it but it turns out it was in my jacket pocket,7
can i have money transferred into my account at different intervals along my trip,1
what do i do if my card gets broken,8
i need to update my phone number,13
i managed to drunken block my card  help,22
my address is incorrect on my file,13
i would like to change currency,15
help me link my card,7
why hasnt my cash arrived yet from my cheque,2
help i made a transfer in error and need to cancel it before its complete,3
why am i charged a fee when using my debit or credit card,9
why did i have to pay extra because i paid with my card,9
how is my atm deposit not available yet,20
what currencies can be used for top up,23
i couldnt get the money i needed,29
what currencies do you accept for adding money,23
are there any topup limits involved,25
what are the exchange rates you assign,14
too many times i entered the incorrect pin  how can i get my account unblocked,22
how long does it take to verify a cash withdraw,20
why do i need to have my identity verified,28
my card payment had the wrong exchange rate,11
i deposited a cheque why isnt my balance showing that i did,2
i need you to stop the transfer i just started as soon as possible i just realized its not correct,3
is there a fee for topping off by transfer,24
what does pending mean on a cash withdrawal,20
why isnt my cheque deposit showing on my account  i though it would be faster and would like to to look into it and help,2
i tried to withdraw 40 pounds but only 20 came out did you steal my money,29
let me know when i get charged extra for payments i saw on the app a fee i wasnt forewarned about,9
is my card denied anywhere,4
how long is a top up supposed to be pending because an hour is too long can you fix this to go through,21
i topped up but my money is not showing why is that,26
i want to top up my account by a bank transfer but will i be charged,24
is there a way to revert a transaction,3
why hasnt arrived yet a transaction i did to my friend,27
i need some help i thought you guys accepted crypto top ups it wont seem to let me do it i put money in my account and now its gone and i didnt spend it where did it go,26
how can i unblock my pin,22
my card was declined at a restaurant today and i dont know what the problem is,8
can i electronically transfer funds into my account from my american express,23
can i have my account add money automatically in certain intervals,1
what is the extra fee on my statement,16
could you please tell me your exchange rates,14
i forgot what my pin number is and now am blocked can you help me get in,22
there was a limited amount of money available at the time of my transaction,29
where can i have a virtual card,18
tell me the currencies that you support,17
will this app allow me to exchange currencies,15
i placed a cheque but the funds arent there,2
why is there a fee on a card payment,9
can you tell me how many currencies i can hold,17
the machine gave me the wrong amount of cash,29
i see a charge of 1l i do not recognize on my statement,16
what are the age limits for your service,0
the exchange rate looks wrong on a holiday purchase,11
why did you charge me extra,16
how do i know which payments i make will have additional fees where can i find this information online,9
why and i being charged this fee,9
i used the wrong account,3
does it cost me anything to top up my account via bank transfer,24
i didnt make this payment,10
my cash balance less than what i thought,29
why did my topup not get approved this time,26
how can i exchange currencies,15
what does my daughter need to open an account,0
i just initiated a transfer but id like to cancel it,3
do you have a tracking number for the card i was sent,5
i believe that my card has been stolen,19
please explain the exchange rates,14
will the system automatically update once there is no more money left,1
